Clock frequency is approx10
Memory mountain (MB/sec)
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	
16m	43.0918	41.9912	43.9912	39.8981	35.77	31.7247	26.8349	25.5686	21.7454	20.9287	20.0126	19.2226	18.327	16.086	16.3826	14.0701	
8m	47.0557	48.4927	48.5244	48.9221	45.1899	37.3249	33.631	30.2464	27.4661	25.8634	24.096	22.6883	21.3795	20.1295	18.9743	18.0375	
4m	47.0374	48.4875	48.4627	45.937	43.1424	38.7952	34.6643	31.5263	30.0597	25.9026	26.3835	24.807	23.2518	21.9097	20.8937	20.0269	
2m	45.1152	44.8504	44.8063	42.6924	40.0411	36.8791	33.7205	31.0112	28.5517	26.3018	24.574	23.2489	21.9781	20.7009	19.7344	18.9214	
1024k	44.895	45.1451	45.1081	45.0249	45.1777	45.2892	45.3762	45.2659	45.6822	45.7132	44.7451	46.2921	46.0751	46.365	46.4547	45.5617	
512k	45.2105	45.1614	47.4201	47.4623	47.7056	47.4794	46.712	47.5588	48.0089	47.7486	47.9593	48.2549	48.5658	48.2217	48.6661	48.574	
256k	47.0399	23.0956	22.9757	46.1911	46.127	47.6133	48.1102	45.7015	46.7528	46.5447	45.3578	46.7973	46.3753	46.8803	47.0544	47.7389	
128k	46.2172	46.1716	46.4985	46.3611	45.7966	46.321	46.7166	46.1002	46.3495	46.2491	46.5794	46.3189	46.163	47.4746	46.2818	47.6279	
64k	46.0483	46.3742	46.8978	46.3873	46.8107	46.0067	46.0728	46.0742	46.2579	46.4752	46.8318	46.5162	45.5787	46.7166	46.4787	47.5174	
32k	47.6695	44.9616	44.4345	44.329	44.3369	48.4131	47.668	48.5308	48.5333	47.7551	48.6601	47.7273	48.8372	46.063	46.6667	46.9725	
16k	48.5596	47.6279	49.1097	47.4074	48.6053	48.2332	46.988	46.5455	46.1929	47.341	46.8239	45.8054	47.0149	42.3913	41.6794	42.314	
8k	45.1599	44.2333	45.3488	43.2068	43.7968	42.1296	42.3913	42.314	42.1296	45	44.2857	41.0843	41.4474	41.7857	39.5652	39.3846	
4k	44.4252	43.5745	43.1962	43.3898	41.3636	41.5854	39	41.9672	40.625	40.098	39.5745	38.75	37.5	36.5	35.9211	34.5946	
2k	45.1101	44.9123	44.2857	41.9672	40.9	37.0652	37.4359	64	54.0476	48.5714	46.5	28.3333	49.0625	52.1429	25.1852	49.2308	
1k	43.0252	37.1014	34.1	33.6842	48.5714	42.5	48.6667	49.2308	40.3571	46.3636	19.375	42.5	43.3333	40.5556	37.7778	35.5556	
